kill,abilityPower,armor,attackDamage,attackSpeed,healthMax,lifesteal,magicResist,movementSpeed,powerMax,y
-14,-575,219,-142,-53,764,-2,219,-85,-1450,2
0,0,8,0,0,-67,0,0,0,91,1
0,-2,8,6,-26,-117,0,-8,34,91,1
0,13,8,6,-66,-47,0,-8,261,141,1
-1,16,5,0,4,-113,0,-8,-93,125,1
-1,10,12,-13,24,80,0,-5,123,247,1
-1,19,6,0,-34,17,1,-7,15,595,1
2,23,15,-29,-7,210,2,-3,-178,728,1
0,34,25,-26,-39,488,9,-4,-161,885,1
1,77,29,-46,-35,499,3,24,-117,1249,1
2,61,43,-38,-89,301,11,27,54,1348,1
2,71,28,-59,-45,-185,11,27,-146,1452,1
3,60,37,-52,12,286,11,30,-20,1661,1
2,75,54,-26,-3,-10,11,26,-72,1365,1
5,78,52,-41,-107,414,12,20,-350,1563,1
6,88,46,-51,80,658,12,-4,211,2357,1
7,38,55,-99,3,732,13,-2,-349,2472,2
8,13,66,-76,71,695,6,23,-165,2455,2
10,46,111,-4,70,856,6,33,89,2295,2
12,92,115,-3,81,1005,6,33,-215,2459,2
14,110,121,36,165,1423,21,34,-244,2592,2
16,92,121,73,70,1420,28,34,-254,2601,2
0,0,22,0,0,235,0,-5,-10,251,1
0,-59,16,27,23,165,9,-5,-21,251,1
0,-59,16,29,-61,168,9,-5,-16,270,1
-1,-61,17,26,-26,167,9,-6,17,384,1
-1,-91,8,10,-56,75,9,-9,30,396,1
-1,-91,19,-13,-137,315,8,-5,-72,773,1
-3,-101,-4,2,74,286,8,-7,-16,844,1
-3,-106,-8,-47,78,192,8,-9,-43,882,1
-3,-148,-9,-59,43,194,0,-9,-109,987,1
-1,-139,-5,-5,-5,223,0,-7,-65,1069,1
-3,-139,-12,-39,-138,48,0,-9,-117,1117,1
-7,-156,-35,-15,12,-203,-1,-37,312,1100,1
-8,-182,-11,-10,-156,-243,3,-37,-5,1210,1
-10,-265,-16,-40,-73,-148,3,-38,169,627,1
-12,-267,-32,-32,-16,-112,2,-62,72,837,1
-11,-270,-34,-77,-49,-226,2,-61,-146,872,0
-11,-296,-47,-69,-55,-16,2,-71,-61,1010,0
-12,-321,-37,-95,6,-153,-6,-18,-3,1048,1
-14,-412,-28,-112,4,3,-13,-22,10,1252,0
-14,-402,-15,-115,-80,457,-13,-13,23,1502,0
-14,-432,-14,-87,6,277,-14,-8,107,1374,1
-16,-520,36,-125,21,89,-14,-12,105,1602,1
-15,-578,44,-55,-31,417,-14,1,-108,1719,1
-15,-557,69,-63,-19,654,-9,4,-159,1832,1
-16,-709,40,-172,-110,210,-17,43,-345,1692,0
-17,-709,40,-111,-85,211,-28,43,261,1952,1
-19,-650,63,-24,-104,349,-28,44,215,1978,1
-19,-650,63,-24,-104,349,-28,44,-43,1978,1
0,0,-4,0,0,63,0,-2,0,464,1
0,33,8,-21,-10,38,0,-10,2,464,1
0,45,8,-21,-31,32,0,-10,-3,456,1
1,33,13,-20,-48,153,0,-10,84,588,1
1,68,1,-13,-20,-316,0,-14,40,450,1
2,68,6,0,-50,-532,0,-13,-9,521,1
1,68,1,27,-90,-595,-14,-16,-21,509,1
1,108,-21,30,-85,-439,1,-43,-57,581,1
0,151,-20,40,-290,-250,0,-43,14,597,0
0,135,-21,44,-228,168,-15,-44,-179,662,0
-1,122,-27,56,-241,-72,-15,-21,-264,549,0
-2,124,-33,45,-145,-229,-1,-26,-59,474,1
-4,104,-33,31,-161,-193,-16,-26,-176,454,0
-5,109,-8,4,-201,-322,-8,-24,-314,424,0
-5,109,-13,30,-216,-86,-23,-26,-142,738,0
-8,97,-37,42,-281,-152,-7,-28,-192,764,0
-9,137,-157,-16,-216,-258,-24,-31,-201,356,0
-11,137,-167,-16,-254,-432,-9,-34,-251,314,0
-11,137,-180,-13,-230,-386,-25,-34,-144,377,0
-11,143,-179,-33,-308,-367,-9,-34,-262,412,0
-11,132,-171,-27,-299,-107,-9,-30,-120,525,0
-11,92,-162,-7,-182,-628,-8,-33,-130,512,0
-10,94,-191,11,-340,-685,-8,-36,-21,541,0
-8,159,-176,-41,-232,-190,-6,-28,-123,746,0
-8,194,-156,-29,-441,380,-5,-23,-20,794,0
-4,183,-160,-23,-120,507,-5,-36,-520,887,0
-5,394,-200,102,-199,987,-5,-44,-177,1323,0
-6,412,-200,85,-294,1018,-5,-44,-323,1323,0
-9,288,-171,67,-162,779,-4,-49,198,1208,0
-9,343,-191,-35,-375,33,-4,-46,-330,1275,0
-10,328,-198,-24,-180,-111,-4,-49,-139,1186,0
-11,333,-205,-20,-226,-50,-4,-109,458,1136,0
-11,131,-276,-165,-133,163,-19,-140,-198,1183,0
-10,257,-275,-158,-237,39,-10,-146,379,1090,0
-10,294,-271,-150,-195,389,-9,-146,-249,1105,0
-10,388,-390,-387,-396,561,-9,-173,-180,1163,0
-7,448,-245,-50,-176,167,-9,-163,-77,1230,0
-9,465,-175,-53,-393,193,-9,-134,-205,1214,0
-8,433,-163,-68,-359,124,-13,-126,-82,1250,0
-5,412,-138,-129,-457,152,-13,-189,-158,1254,0
-10,343,-138,-170,-178,147,-6,-189,6,1254,0
0,0,-12,0,0,-220,0,0,-15,448,1
0,0,-18,-8,-14,-285,0,8,379,448,1
0,0,-18,-1,-16,-193,0,7,18,444,1
0,0,-25,-3,-22,-281,0,4,-3,402,1
0,0,-24,0,-31,-212,0,5,-15,273,1
1,0,-12,-3,-39,21,0,8,-154,248,1
1,0,-31,-19,-12,-309,0,0,-56,-394,1
0,-2,-23,-17,-9,-147,0,5,-47,-295,1
0,5,-36,-5,-58,-359,7,0,261,-250,1
1,9,-31,4,-44,-175,7,0,-75,-298,1
1,2,-32,8,-96,-328,7,2,46,-291,1
-1,42,-41,-12,-139,-277,5,-2,35,-48,1
-2,24,-51,6,-72,-268,4,-5,111,-320,1
-4,42,-48,-7,-109,-151,-3,-5,299,-344,1
-4,42,-61,-44,-123,-43,-5,-6,-96,-376,0
-5,73,-61,-54,-81,8,-6,-6,-218,-440,0
-5,93,-55,-57,-133,-207,-7,15,-163,-210,0
-5,100,-58,-73,-90,-62,-7,15,-267,-263,0
-4,91,-32,-78,-102,236,-7,15,-167,-169,0
-4,134,-32,-125,-101,212,-8,38,-163,-232,0
-6,119,-38,-149,-107,48,-10,40,513,-349,1
-7,90,-43,-148,-150,28,-10,35,13,-649,0
-10,90,-65,-186,-119,-307,-11,27,162,-794,0
-12,106,-52,-207,-190,-172,-11,33,-179,-819,0
-13,-21,-97,-274,-150,-501,-12,52,-69,-887,0
-14,57,-92,-230,-147,-483,-12,53,55,-887,0
-14,60,-82,-234,-249,-236,-12,47,8,-782,0
-15,73,-98,-277,-206,-593,-12,44,214,-992,0
-20,47,-91,-217,-190,-744,-12,54,-281,-1005,0
-20,57,-100,-204,-278,-1117,-12,62,-351,-1015,0
-20,57,-105,-210,-252,-1236,-12,60,-164,-1015,0
0,0,-23,0,0,-76,0,-4,-5,361,1
0,8,-17,6,-21,64,0,-12,3,121,1
0,8,-17,6,15,43,0,-12,280,102,1
1,10,-24,2,-13,-136,0,-18,79,50,1
4,7,-8,2,14,241,1,-12,48,132,1
5,22,-13,39,4,141,2,-14,12,376,1
5,45,-8,41,37,537,2,-11,1,385,1
6,75,-10,39,-26,438,2,-12,-325,423,1
9,103,-13,48,-27,394,3,-15,-235,399,1
10,107,-8,46,-94,547,5,-19,-384,439,1
11,95,6,103,-32,313,5,58,149,431,2
13,143,15,80,-9,348,6,61,-187,500,2
14,132,15,84,-14,515,7,81,-143,880,2
14,136,24,79,-36,560,0,82,-206,878,2
17,205,38,94,-7,862,1,86,8,964,2
19,214,29,110,-20,490,1,83,-158,947,2
20,314,43,139,-90,1464,0,116,139,991,2
22,367,42,122,61,1289,0,116,-304,987,2
22,430,39,137,-102,995,0,81,343,890,2
25,410,56,132,-33,1210,2,90,-172,923,2
0,0,3,0,0,132,0,4,10,-159,1
0,6,3,7,8,152,0,4,364,-159,1
0,6,3,7,-62,156,0,4,5,-180,1
1,6,5,4,-48,194,0,7,5,-309,1
0,6,-11,9,-25,156,0,7,25,-620,1
0,6,11,3,46,-31,0,4,-36,-1041,1
1,46,9,-20,-14,37,-7,5,-56,-1154,1
2,46,13,6,26,113,-8,8,-56,-1253,1
4,26,12,-17,63,89,-8,8,-56,-1412,1
4,26,6,-23,62,117,-1,6,59,-1583,1
4,60,-16,-98,125,98,-8,5,14,-1674,1
4,84,-16,-35,103,118,-8,6,20,-1731,1
5,44,-12,-40,61,-125,-10,8,-114,-1849,1
4,153,5,-75,94,-255,-10,28,-21,-1985,1
6,153,17,-90,156,30,-11,-1,80,-2059,1
7,138,37,-127,149,-73,-11,31,301,-2126,1
7,148,23,-121,90,275,-12,31,74,-2086,1
7,188,41,-120,144,255,-13,30,22,-2136,2
7,188,40,-142,2,281,-13,30,22,-2159,2
7,158,0,-230,67,944,-13,32,234,-2504,2
8,158,-1,-230,166,918,-14,30,145,-2483,2
6,158,-1,-241,122,1108,-14,31,41,-2544,2
7,223,-1,-218,190,1221,-21,34,72,-2269,2
5,226,5,-262,98,1164,-22,35,18,-2308,2
8,246,-2,-339,239,986,-22,34,-58,-2443,2
8,299,63,-303,202,1543,-15,18,383,-2534,2
6,332,-35,-308,118,1669,-15,-11,158,-2584,2
6,297,-40,-343,189,1014,-15,-11,-108,-2649,1
6,300,-36,-360,152,1118,-14,-9,241,-2687,2
5,340,-30,-310,100,1045,-14,-12,305,-2812,1
5,330,-41,-367,188,1255,-21,-12,19,-2812,2
3,371,-50,-409,238,760,-21,-42,-20,-2950,0
2,386,-144,-360,100,895,-14,-70,319,-2935,0
0,355,-95,-339,223,386,-14,-72,-128,-3260,0
-3,355,-137,-408,184,115,-14,-137,132,-3399,0
0,0,17,0,0,195,0,-5,30,230,1
0,-2,-1,9,16,335,0,11,-11,230,1
0,3,-2,16,17,332,0,11,-35,222,1
0,3,-3,5,20,410,0,11,-269,336,1
1,3,2,31,23,483,0,10,-222,448,1
0,21,4,27,24,247,-1,14,-137,585,1
0,-19,1,88,56,320,-1,13,-125,624,1
-1,-97,-6,96,50,177,-1,12,195,368,1
0,-114,3,114,77,341,-1,14,-183,259,1
-2,-135,-11,138,88,404,-1,17,-81,198,1
-1,-120,-81,148,221,316,-1,0,-128,414,1
-2,-110,-67,169,172,298,-1,14,-33,214,1
-1,-190,-56,209,143,256,-1,19,-123,216,1
0,-234,-62,268,153,384,-1,42,103,320,1
1,-290,-78,304,163,294,5,26,162,314,1
1,-257,-78,257,199,380,5,11,114,523,1
2,-251,-77,263,200,364,5,15,43,720,1
3,-206,-90,271,288,688,5,5,166,860,1
0,0,2,0,0,71,0,2,35,211,1
0,27,8,6,13,-32,0,-15,35,451,1
0,30,7,7,54,-40,15,-15,135,496,1
2,33,12,30,47,68,15,12,35,603,1
1,18,10,31,49,-206,0,13,1,314,1
-1,-26,2,31,37,-323,0,11,106,190,1
-1,-5,16,8,72,-807,0,11,35,101,1
-6,-7,10,15,-4,-648,-1,10,210,59,1
-6,-38,-38,-15,30,-846,-2,-30,172,-87,1
-5,-26,18,-30,107,-769,-1,-16,0,5,1
-7,-11,-11,-35,92,-1005,-2,-38,175,-63,1
-8,-36,-69,-36,25,-1301,30,-77,170,-79,1
-8,0,-68,-60,45,-1271,-2,-76,-75,-67,0
-8,38,-50,-58,77,-1096,16,-76,-162,-345,0
-9,33,-63,-62,76,-1365,-2,-81,-34,-393,0
-11,20,-54,-16,-1,-1679,-3,-84,-59,-379,0
-13,26,-81,-78,41,-1904,-3,-85,151,-680,0
-16,22,-129,-75,122,-1896,-2,-131,-75,-600,0
-20,49,-233,-87,61,-2451,-2,-204,-57,-379,0
-22,-81,-132,-151,41,-2524,-2,-118,423,-292,0
-23,-91,-206,-158,65,-3529,-2,-170,376,-654,0
-25,-151,-313,-159,-7,-4112,16,-239,54,-854,0
-27,-146,-218,-162,63,-4090,-2,-151,-56,-858,0
0,0,22,0,0,302,0,4,25,125,1
0,-49,10,35,13,245,0,12,381,125,1
0,-49,10,34,1,243,0,12,-11,94,1
0,-58,6,30,4,165,0,14,-42,51,1
0,-31,10,29,2,365,0,18,-22,96,1
-1,-46,-4,38,-38,28,0,12,-96,-11,1
-2,-36,-6,37,-157,36,0,13,-100,-85,1
-1,-53,0,43,14,208,0,18,9,-29,1
-2,-73,-8,38,65,-15,0,15,-87,-65,1
0,-135,-1,12,38,207,7,18,-72,-9,1
-2,-137,-11,15,-62,6,7,15,230,-45,1
-1,-195,8,41,181,-59,14,15,-79,-320,1
-2,-206,7,39,107,-331,14,15,-3,-329,1
-2,-215,25,46,56,-548,7,62,-27,-381,1
-1,-284,40,30,22,-615,7,68,6,-391,1
-1,-264,36,49,33,-565,8,67,-50,-451,1
0,-286,53,62,152,-188,8,76,-69,-334,1
0,-422,45,33,-4,-404,8,73,-142,-422,1
-2,-504,40,32,-11,-508,8,127,161,-742,1
-2,-553,55,62,-2,-272,8,141,16,-751,1
-3,-645,40,68,82,-552,8,130,-71,-793,1
-3,-627,58,75,189,-468,8,146,-108,-823,1
-3,-661,31,77,133,-782,8,156,277,-880,1
-2,-656,47,85,189,-302,8,163,207,-795,1
-4,-669,10,44,53,-334,8,153,-230,-795,1
-5,-820,6,72,20,-882,8,159,-63,-935,1
-8,-1019,-28,-74,76,-1454,8,144,-295,-1080,1
-8,-1019,-28,-74,76,-1454,8,144,-152,-1080,1
0,0,15,0,0,-67,0,7,35,79,1
0,-84,9,33,20,-87,0,15,35,79,1
0,-68,9,44,70,-88,0,15,35,47,1
0,-64,5,43,47,-224,0,13,58,-134,1
2,-61,14,47,-37,47,0,18,35,-97,1
1,-97,20,28,57,-182,7,15,78,-489,1
0,-88,38,41,35,-100,7,16,100,-536,1
1,-109,52,5,109,181,8,21,50,-500,1
-1,-143,19,13,46,-68,14,2,50,-552,1
-1,-160,24,6,122,33,14,3,50,-674,1
-1,-171,10,-1,63,-145,14,-2,25,-833,1
-1,-165,25,14,52,30,14,2,25,-836,1
3,-127,57,58,91,421,14,6,-167,-1078,1
3,-150,66,76,89,84,37,13,146,-1139,1
3,-150,95,80,117,404,23,43,102,-1109,1
-1,-164,82,101,-12,132,22,39,415,-1231,1
-1,-331,86,97,115,34,21,39,18,-1583,1
-1,-305,75,117,109,-268,21,32,-6,-1716,1
-2,-412,92,72,188,-269,21,40,14,-1827,1
-3,-373,95,86,112,-130,20,41,31,-1745,1
-3,-468,106,93,68,-98,21,43,-28,-2050,1
-8,-500,116,170,16,-169,20,38,21,-2158,1
-8,-555,117,154,124,-205,20,61,-224,-2197,1
-12,-617,110,127,48,-190,20,60,-50,-2298,1
-12,-742,60,97,119,-333,20,88,79,-2387,1
-15,-722,58,11,19,-155,20,83,-38,-2350,1
-16,-819,88,156,91,-437,21,80,191,-2441,1
-17,-846,41,136,64,-511,21,80,193,-2441,1
-17,-901,-1,103,47,-504,21,77,210,-2504,1
-18,-1219,-6,-37,-13,-720,36,85,16,-2661,1
-21,-1174,-28,-44,65,-960,36,70,130,-2778,1
0,0,21,0,0,306,0,0,10,112,1
0,-33,32,22,7,269,0,5,-256,112,1
0,-28,35,24,8,347,0,6,10,87,1
-1,-29,29,23,-39,168,0,2,-54,58,1
-1,-70,26,49,17,169,0,4,-40,66,1
-1,-90,25,51,-5,426,0,4,68,42,1
0,-70,25,52,-30,424,1,4,69,44,1
-1,-59,53,61,-53,398,1,26,30,102,1
-1,-39,56,65,-64,472,2,30,-17,60,1
3,-93,69,92,-85,748,2,35,-66,-159,2
4,-98,67,72,-106,649,2,32,170,-150,2
2,-63,94,87,-101,809,2,88,257,-234,2
2,-70,76,76,89,198,2,84,-81,-332,1
0,-82,100,90,-111,411,-5,99,390,-19,2
2,-44,95,119,-130,389,-12,98,-9,240,2
1,28,85,82,-134,33,-12,94,239,142,1
1,-30,80,100,-92,107,-12,101,-143,226,1
1,-12,71,120,-162,-565,-11,96,-343,182,1
-3,-85,62,151,-172,-486,-11,109,-90,-207,1
-2,-192,58,163,-168,-719,-10,86,-185,-153,1
-3,-170,62,174,-174,-401,-9,88,-42,-168,1
-3,-111,63,259,-179,-297,-9,88,158,148,1
-3,-108,72,284,-178,117,-16,93,180,237,1
-3,-328,74,297,-191,-297,-16,92,78,237,1
-4,-365,68,319,-122,38,-16,91,120,182,1
-5,-371,35,314,-216,-267,-16,88,26,88,1
-6,-341,52,356,-207,323,-16,93,129,237,1
-8,-721,45,229,-185,-1496,-34,82,-508,-37,1
-8,-610,56,242,-192,-888,-35,87,-232,71,1
-11,-593,95,317,-56,-923,-35,90,172,75,1
-15,-422,71,387,-169,-1369,-35,82,-227,-108,1
-15,-422,71,387,-169,-1369,-35,82,-199,-108,1
0,0,8,0,0,98,0,-2,-25,-352,1
0,3,26,-17,0,97,0,-18,-34,-352,1
0,3,26,-18,-5,90,20,-18,-25,-320,1
0,3,30,-18,-57,90,0,-19,-27,-218,1
0,3,24,-23,27,-31,0,-30,110,-178,1
0,23,35,-25,6,89,0,-20,-29,-602,1
0,23,32,-18,-6,212,0,-22,-115,-699,1
0,1,44,-28,-22,481,0,-17,-30,-198,1
-1,41,36,-50,-38,242,7,-21,-31,-318,1
-2,-17,31,-23,-18,139,34,-22,-218,-726,1
-2,-56,40,17,-35,302,14,-20,-122,-801,1
-3,-143,26,31,-80,-267,14,-27,10,-1024,1
-2,-95,37,33,-77,153,14,-23,-103,-1064,1
-1,-64,48,41,-58,925,14,-20,-401,-944,1
0,-103,48,63,-80,945,14,-21,-143,-992,1
-2,-76,29,59,-60,371,8,-3,-66,-1232,1
-2,-75,14,25,13,240,8,-32,-91,-1463,1
-1,-69,44,54,-93,551,8,-23,-404,-1518,1
1,-49,91,44,-119,679,8,1,-199,-1666,1
4,-25,115,107,-1,849,8,3,-158,-1644,2
5,132,166,121,11,1056,8,3,-134,-1875,2
8,94,142,127,31,1473,8,9,-288,-1779,2
9,94,142,64,33,1473,8,9,-223,-2039,2
0,0,6,0,0,35,0,0,15,418,1
0,-7,0,6,-3,-10,0,8,15,418,1
0,-7,0,6,-28,-6,0,8,15,411,1
0,-13,-3,11,-26,-197,0,6,40,326,1
1,-15,3,14,-46,-46,0,8,110,147,1
2,-15,-6,-15,-24,-123,0,9,-12,232,1
5,-18,-12,10,17,-312,1,7,-160,273,1
5,3,16,46,17,-275,2,10,80,532,1
7,-30,16,60,8,-380,2,8,197,534,1
8,-30,28,50,66,-49,10,13,279,783,1
9,-44,10,102,80,-101,10,14,241,795,1
8,-52,11,106,42,322,9,14,43,699,1
8,-98,32,142,25,-25,9,-18,147,27,1
10,-60,36,168,49,170,10,-16,150,123,1
11,-9,43,182,56,263,10,-12,90,150,1
13,-27,26,221,95,263,11,10,185,464,1
14,-22,42,232,13,86,12,14,-21,492,2
11,-56,50,266,33,-266,11,13,-312,718,1
13,-42,66,286,57,-536,11,29,302,598,1
13,-64,0,320,31,-619,11,9,-29,752,1
0,0,-2,0,0,99,0,9,5,190,1
0,6,4,2,-30,54,0,1,5,430,1
0,11,3,-1,-71,52,0,0,-6,475,1
-1,17,0,-2,-34,15,0,0,5,401,1
-1,41,3,-10,-71,115,0,3,5,378,1
-2,31,8,11,-18,217,0,6,224,469,1
-1,48,-3,-11,-68,230,0,1,-91,54,1
-1,62,2,-18,-7,354,0,4,104,102,1
0,73,-4,-13,-23,286,2,2,210,63,1
-3,55,-4,-20,-23,491,2,2,-91,412,1
-3,65,-19,-34,-60,349,2,4,-120,401,1
-3,78,-19,-57,-44,279,2,6,-58,489,1
-3,92,-15,-48,-20,375,-5,6,30,217,1
-3,143,7,-95,101,208,-5,17,121,449,1
-2,200,6,-84,5,381,-5,14,-278,505,1
-2,199,-8,-71,-74,699,2,26,-274,556,1
-3,206,-31,-85,-104,383,3,12,-241,474,1
-3,222,-6,-90,-29,376,3,19,-193,494,1
-2,237,-30,-93,-10,280,3,19,82,458,1
-4,250,-2,-88,41,490,4,22,-33,525,1
-5,419,-3,-135,36,379,4,-16,-126,420,0
-1,411,-7,-189,0,791,5,-11,-141,499,1
-1,401,21,-182,44,561,5,10,282,716,1
-1,419,40,-182,-32,951,6,43,86,824,2
1,277,123,-244,133,710,6,105,-32,699,2
0,290,3,-288,64,656,6,22,62,690,1
0,426,-19,-288,-29,673,6,23,152,642,1
0,490,-24,-201,-77,676,6,6,-454,680,0
1,511,-16,-214,-40,559,6,4,-181,619,0
2,637,22,-277,23,1039,6,15,-6,696,2
-1,856,2,-312,-42,732,6,24,130,604,0
0,691,-44,-494,48,585,6,9,-235,540,0
0,675,-44,-520,-49,785,6,11,-120,587,0
-3,685,-66,-506,3,442,6,5,-301,382,0
-3,891,-56,-522,8,696,6,-46,-335,467,0
-5,893,-50,-538,137,821,-1,-44,-4,467,0
-9,931,-78,-553,38,315,-1,-52,-232,253,0
0,0,-4,0,0,96,0,0,-20,-81,1
0,-17,15,7,6,136,0,10,-20,-81,1
0,-23,2,6,-43,116,0,0,-26,-114,1
-1,-17,-3,-13,6,-63,0,-3,-20,-144,1
-1,-52,8,-7,20,-168,0,8,-26,-179,1
-1,-32,20,-12,33,225,0,11,-25,108,1
1,-52,0,-3,43,76,0,-2,-25,-114,1
0,-89,6,-14,80,71,-7,1,165,-56,1
0,-75,17,-19,111,-168,-7,-3,-287,-150,1
-2,-104,70,11,75,-353,-7,32,-104,-506,1
-3,-92,17,19,81,-259,-7,-2,-225,-152,1
-5,-100,9,23,81,-499,-7,-6,-25,-247,1
-7,-112,27,43,83,-567,-7,-5,10,-124,1
-9,-181,43,-9,35,-1027,-7,-3,139,-208,1
-11,-217,4,-14,30,-1062,-7,-19,-112,-233,0
-13,-201,34,-22,34,-1214,0,-6,-30,-341,1
-15,-251,47,-65,-56,-1270,0,42,22,-290,1
-16,-268,47,-126,-9,-1006,7,41,-67,-495,1
-16,-287,-1,-149,49,-1127,0,9,62,-530,0
-19,-379,95,-161,75,-1355,0,77,-134,-395,1
-17,-350,36,-179,111,-656,-1,52,-406,10,1
-19,-452,-15,-249,106,-772,-1,19,-212,-110,0
-20,-431,-30,-268,99,-1128,-1,13,-79,-229,0
0,0,7,0,0,93,0,2,0,-476,1
0,-51,1,41,36,-42,0,18,-365,-451,1
1,-51,1,39,-66,-40,-15,18,3,-457,1
2,-51,3,39,-18,-52,0,20,-276,-456,1
1,-91,7,39,-14,20,0,21,-44,-239,1
3,-91,21,7,32,343,0,26,-2,-405,1
3,-111,4,71,38,16,0,23,-50,-783,1
4,-169,1,46,11,77,-1,21,-53,-847,1
5,-169,-10,52,39,168,-1,23,-223,-803,1
5,-204,-13,64,175,321,-2,21,3,-785,1
5,-244,-28,81,60,593,-2,10,-68,-682,1
7,-195,-34,77,50,567,-2,31,12,-664,1
7,-173,-33,91,79,214,-9,32,57,-720,1
5,-178,-40,136,110,221,-11,32,4,-1088,1
6,-188,-58,152,17,213,-11,35,79,-1034,1
8,-184,-65,144,79,111,3,62,-107,-1016,1
9,-130,-62,174,149,316,2,64,-79,-651,1
10,-193,-61,190,86,162,2,64,-424,-653,1
11,-163,-63,191,-52,-193,2,64,-934,-612,1
12,-163,-57,174,149,-54,2,110,-197,-532,1
14,-223,-77,243,87,-36,-5,133,57,-542,1
15,-226,-98,239,215,-148,-5,131,-94,-581,1
14,-241,-93,254,144,-84,-6,136,6,-171,1
16,-282,-127,284,150,-386,-7,134,29,-212,1
20,-282,-128,368,286,-45,-7,141,298,-77,1
19,-222,-2,394,159,-314,-7,113,-25,-333,2
19,-234,-29,388,157,-526,-7,110,-249,-535,1
20,-234,-51,390,157,-519,-7,103,-18,-514,1
20,-240,-50,491,175,-487,-7,148,74,-475,2
20,-240,-50,491,175,-487,-7,148,74,-475,2
0,0,0,0,0,13,0,-5,-20,-125,1
0,24,-28,-44,-6,-70,0,3,-116,-125,1
0,24,-43,-31,29,-75,0,2,-25,-121,1
0,24,-20,-3,14,-108,0,-1,-25,-94,1
-1,24,-24,-12,-37,95,0,-2,-99,-20,1
-1,9,-29,-20,8,-31,0,1,227,175,1
-1,-49,-14,37,-51,-6,0,2,-20,201,1
-2,-81,-22,37,28,-221,1,23,-66,-44,1
-2,-69,-50,4,-6,-247,-6,23,-45,-84,1
-2,-76,-40,12,-14,-333,-4,21,10,-244,1
-2,-41,5,2,-6,-237,-4,-6,-41,-173,1
-4,-61,7,-2,21,-719,-5,-9,-26,-548,1
-4,-61,-28,3,-80,-778,-5,-10,179,-563,1
-5,-61,42,37,-19,-798,-3,6,-6,-213,1
-6,-59,14,70,1,-831,-3,7,262,-195,1
-7,-119,6,46,-83,-1036,-2,5,22,-252,1
-7,-119,33,8,-6,-614,-9,6,60,-235,1
-6,-149,38,35,-52,-652,-9,7,-31,-528,1
-7,-142,52,-19,-58,-566,-8,2,148,-625,1
-6,-206,57,-1,21,-583,-7,-1,13,-588,1
-7,-214,49,16,-155,-862,-6,25,-10,-709,1
-7,-177,17,1,-55,-1352,-6,2,88,-761,1
-7,-157,-21,-55,-55,-1486,-6,-19,-10,-775,0
-9,-127,-1,-39,-45,-1728,-5,-22,51,-888,0
-11,-152,5,4,-211,-1643,-5,-21,-13,-857,0
-11,-368,-40,-123,-154,-2385,-6,-7,-260,-1075,0
-9,-250,-30,-56,-108,-2293,-5,-16,354,-949,0
-9,-240,-15,-32,-108,-2185,-4,-15,-3,-1007,0
-12,-171,-31,29,-257,-1863,-4,-15,102,-1008,0
-14,-171,-95,-24,-348,-2337,-4,-24,131,-1144,0
-14,-220,-125,37,-239,-2553,-4,-25,-106,-1104,0
-15,-185,-102,0,-210,-2361,-4,-20,-62,-1351,0
-16,-240,-72,-12,-103,-2965,-4,-57,-144,-1660,0
-20,-454,-101,-138,-331,-3647,-4,-76,59,-1903,0
-21,-385,-107,-143,-360,-3790,-4,-110,-63,-1952,0
0,0,7,0,0,204,0,4,-10,8,1
0,21,1,-5,-16,-116,0,12,-2,8,1
0,21,1,-14,-31,-111,0,12,180,30,1
0,22,17,-2,-173,-226,0,27,-7,78,1
1,18,7,-8,-151,-146,0,13,-46,188,1
-2,22,-4,11,-60,-135,-1,10,269,126,1
-2,23,-1,2,-26,-115,-1,11,115,202,1
-3,41,-9,-28,-129,-258,-1,8,80,140,1
-4,43,13,-4,-150,-59,-1,11,76,658,1
-4,24,19,-78,-213,21,-1,13,-12,699,1
-3,4,18,-42,-154,-133,-1,13,-14,746,1
-3,-4,58,-41,-205,-45,-1,53,-128,490,1
-4,-18,54,-24,-69,226,-1,41,55,702,1
-3,36,57,-43,-206,79,0,48,-95,688,1
-2,24,72,-46,47,487,0,51,-70,792,1
-1,9,59,-29,-129,291,0,51,-55,1105,1
2,68,49,-50,-158,372,0,6,-59,1291,1
3,68,38,-75,-26,1110,1,6,-197,1675,2
2,61,33,-111,3,996,1,6,-7,1639,1
0,88,20,-47,-74,659,0,4,64,1598,1
4,54,25,-58,-138,960,2,4,-90,1662,2
3,54,21,-53,9,923,2,4,-76,1777,1
-1,151,44,-61,-188,1267,1,-1,101,1742,2
-1,119,63,-98,-192,1111,0,-28,-603,1799,0
3,131,-10,-97,-45,1389,0,-35,-294,1891,1
3,295,36,6,-27,1718,0,10,-81,1994,2
3,308,1,8,-48,2461,0,12,-338,2085,2
5,215,6,-42,46,2701,0,13,14,2198,2
7,160,52,-87,45,2997,0,15,0,2250,2
0,0,-28,0,0,-20,0,5,-5,9,1
0,21,-22,21,-4,40,0,-3,-7,9,1
0,3,-22,-3,53,36,0,-3,-122,19,1
0,21,-19,19,-121,99,0,-4,-22,30,1
-1,38,-22,46,-4,55,0,-5,25,-256,1
-3,24,-32,29,16,-122,-1,-9,250,-345,1
-4,56,-28,30,-148,-60,-8,-8,-8,-338,1
-3,90,-58,40,35,105,-9,-8,190,-580,1
